qualidade,pontualidade,empresa
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Nao,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Pessima,Sim,Lipehigh
Ruim,Sim,Lipehigh
Ruim,Nao,Lipehigh
Pessima,Sim,Lipehigh
Pessima,Nao,Lipehigh
Ruim,Sim,Lipehigh
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Nao,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Otima,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Boa,Nao,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Nao,Montvero
Otima,Sim,Montvero
Otima,Sim,Montvero
Otima,Nao,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Otima,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
Boa,Sim,Montvero
